Time Sent,Campaign Name,Total Sent,Open Rate,Industry Standard Open Rate,Total Unique Opens,Mobile Open Rate,Desktop Open Rate,Click Through Rate,Industry Standard Click Through Rate,Total Unique Clicks,Bounce Rate,Total Bounces,Unsubscribe Rate,Total Unsubscribes,Customer List,Discount
"Mon, Jul 27, 2015 4:50 PM",Promotion2July2015,49,57.10%,39.41%,28,36.50%,63.50%,3.60%,9.78%,1,0.00%,0,0.00%,0,Customer Rewards Program Member,
"Mon, Jul 28, 2014 4:18 PM",Promotion6July2014,190,73.70%,39.41%,137,0.00%,100.00%,6.60%,9.78%,9,2.10%,4,0.00%,0,Target Demographic,
"Fri, Jan 5, 2018 12:32 PM",Discount1January2018,3899,23.60%,39.41%,893,51.20%,48.80%,11.90%,9.78%,106,2.90%,114,0.10%,5,Master,0.2
"Mon, Jun 13, 2016 12:21 PM",Promotion1June2016,3945,25.70%,39.41%,925,54.30%,45.70%,1.30%,9.78%,12,8.90%,350,0.10%,2,Master,
"Thu, Jul 24, 2014 11:15 AM",Discount10July2014,101,69.40%,39.41%,68,0.00%,0.00%,11.80%,9.78%,8,3.00%,3,0.00%,0,Target Demographic,0.2
"Mon, Jun 2, 2014 10:00 AM",PromotionJune2014,4043,28.10%,39.41%,932,66.70%,33.30%,0.00%,9.78%,0,18.00%,728,0.30%,11,Master,
"Tue, Apr 3, 2018 2:55 PM",DiscountApril2018,3612,22.10%,39.41%,771,54.70%,45.30%,11.80%,9.78%,91,3.50%,126,0.10%,3,Master,0.75
"Thu, Nov 30, 2017 9:08 PM",Discount2November2017,168,47.30%,39.41%,79,56.80%,43.20%,11.40%,9.78%,9,0.60%,1,0.00%,0,Target Demographic,0.2
"Mon, Jun 29, 2015 5:19 PM",Awareness2June2015,4465,25.70%,39.41%,932,51.00%,49.00%,2.30%,9.78%,21,18.70%,834,0.10%,6,Master,
"Mon, Jun 30, 2014 2:14 PM",Promotion4June2014,92,83.30%,39.41%,75,0.00%,100.00%,5.30%,9.78%,4,2.20%,2,0.00%,0,Customer Rewards Program Member,
"Tue, Jan 17, 2017 12:08 PM",Discount2January2017,3826,26.00%,39.41%,883,55.20%,44.80%,10.80%,9.78%,95,11.20%,430,0.10%,5,Master,0.2
"Sun, Mar 16, 2014 7:53 PM",DiscountMarch2014,3754,41.80%,39.41%,1283,33.30%,66.70%,10.70%,9.78%,137,18.30%,686,0.30%,10,Master,0.2
"Tue, Aug 29, 2017 6:25 PM",Discount5August2017,206,71.10%,39.41%,140,61.10%,38.90%,10.70%,9.78%,15,4.40%,9,0.00%,0,Customer Rewards Program Member,0.2
"Thu, Mar 16, 2017 3:06 PM",Discount1March2017,228,66.80%,39.41%,151,57.30%,42.70%,10.60%,9.78%,16,0.90%,2,0.00%,0,Customer Rewards Program Member,0.3
"Mon, Mar 28, 2016 12:49 PM",Awareness1March2016,3916,20.20%,39.41%,724,53.60%,46.40%,5.80%,9.78%,42,8.60%,336,0.10%,5,Master,
"Sat, Jan 28, 2017 4:10 AM",Discount4January2017,3898,24.40%,39.41%,848,61.30%,38.70%,10.40%,9.78%,88,11.00%,427,0.10%,3,Master,0.2
"Tue, Jan 16, 2018 10:20 PM",Discount5January2018,3911,39.20%,39.41%,1487,60.20%,39.80%,10.20%,9.78%,151,3.00%,118,0.10%,3,Master,0.2
"Mon, May 11, 2015 2:58 PM",PromotionMay2015,4366,24.70%,39.41%,880,50.00%,50.00%,3.10%,9.78%,27,18.30%,799,0.10%,3,Master,
"Mon, May 16, 2016 7:32 AM",Promotion2May2016,3934,22.30%,39.41%,803,52.30%,47.70%,7.60%,9.78%,61,8.30%,328,0.10%,3,Master,
